"","X","Id","MSSubClass","MSZoning","LotFrontage","LotArea","Alley","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","RoofMatl","Exterior1st","Exterior2nd","ExterQual","ExterCond","BsmtQual","BsmtCond","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageCars","GarageArea","GarageQual","GarageCond","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MoSold","YrSold","SaleType","SaleCondition","HouseAge","GarageAge","RemodAddAge","SalePriceThousands"
"11",11,1,20,"RL",70,11200,NA,"Sawyer","Norm","Norm","1Fam","1Story",5,5,"CompShg","HdBoard","HdBoard","TA","TA","TA","TA","Rec",906,"Unf",0,134,1040,"GasA","SBrkr",1040,0,0,1040,1,0,1,0,3,1,"TA",5,"Typ",0,"Detchd",1,384,"TA","TA",0,0,0,0,0,0,NA,NA,2,2008,"WD","Normal",43,43,43,129.5
"12",12,1,60,"RL",85,11924,NA,"NridgHt","Norm","Norm","1Fam","2Story",9,5,"CompShg","WdShing","Wd Shng","Ex","TA","Ex","TA","GLQ",998,"Unf",0,177,1175,"GasA","SBrkr",1182,1142,0,2324,1,0,3,0,4,1,"Ex",11,"Typ",2,"BuiltIn",3,736,"TA","TA",147,21,0,0,0,0,NA,NA,7,2006,"New","Partial",1,1,0,345
"13",13,1,20,"RL",0,12968,NA,"Sawyer","Norm","Norm","1Fam","1Story",5,6,"CompShg","HdBoard","Plywood","TA","TA","TA","TA","ALQ",737,"Unf",0,175,912,"GasA","SBrkr",912,0,0,912,1,0,1,0,2,1,"TA",4,"Typ",0,"Detchd",1,352,"TA","TA",140,0,0,0,176,0,NA,NA,9,2008,"WD","Normal",46,46,46,144
"14",14,1,20,"RL",91,10652,NA,"CollgCr","Norm","Norm","1Fam","1Story",7,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","TA","Unf",0,"Unf",0,1494,1494,"GasA","SBrkr",1494,0,0,1494,0,0,2,0,3,1,"Gd",7,"Typ",1,"Attchd",3,840,"TA","TA",160,33,0,0,0,0,NA,NA,8,2007,"New","Partial",1,1,0,279.5
"15",15,1,20,"RL",0,10920,NA,"NAmes","Norm","Norm","1Fam","1Story",6,5,"CompShg","MetalSd","MetalSd","TA","TA","TA","TA","BLQ",733,"Unf",0,520,1253,"GasA","SBrkr",1253,0,0,1253,1,0,1,1,2,1,"TA",5,"Typ",1,"Attchd",1,352,"TA","TA",0,213,176,0,0,0,NA,"GdWo",5,2008,"WD","Normal",48,48,48,157
"16",16,1,45,"RM",51,6120,NA,"BrkSide","Norm","Norm","1Fam","1.5Unf",7,8,"CompShg","Wd Sdng","Wd Sdng","TA","TA","TA","TA","Unf",0,"Unf",0,832,832,"GasA","FuseA",854,0,0,854,0,0,1,0,2,1,"TA",5,"Typ",0,"Detchd",2,576,"TA","TA",48,112,0,0,0,0,NA,"GdPrv",7,2007,"WD","Normal",78,16,6,132
"17",17,1,20,"RL",0,11241,NA,"NAmes","Norm","Norm","1Fam","1Story",6,7,"CompShg","Wd Sdng","Wd Sdng","TA","TA","TA","TA","ALQ",578,"Unf",0,426,1004,"GasA","SBrkr",1004,0,0,1004,1,0,1,0,2,1,"TA",5,"Typ",1,"Attchd",2,480,"TA","TA",0,0,0,0,0,0,NA,NA,3,2010,"WD","Normal",40,40,40,149
"18",18,1,90,"RL",72,10791,NA,"Sawyer","Norm","Norm","Duplex","1Story",4,5,"CompShg","MetalSd","MetalSd","TA","TA",NA,NA,NA,0,NA,0,0,0,"GasA","SBrkr",1296,0,0,1296,0,0,2,0,2,2,"TA",6,"Typ",0,"CarPort",2,516,"TA","TA",0,0,0,0,0,0,NA,NA,10,2006,"WD","Normal",39,39,39,90
"19",19,1,20,"RL",66,13695,NA,"SawyerW","RRAe","Norm","1Fam","1Story",5,5,"CompShg","VinylSd","VinylSd","TA","TA","TA","TA","GLQ",646,"Unf",0,468,1114,"GasA","SBrkr",1114,0,0,1114,1,0,1,1,3,1,"Gd",6,"Typ",0,"Detchd",2,576,"TA","TA",0,102,0,0,0,0,NA,NA,6,2008,"WD","Normal",4,4,4,159
"20",20,1,20,"RL",70,7560,NA,"NAmes","Norm","Norm","1Fam","1Story",5,6,"CompShg","BrkFace","Plywood","TA","TA","TA","TA","LwQ",504,"Unf",0,525,1029,"GasA","SBrkr",1339,0,0,1339,0,0,1,0,3,1,"TA",6,"Min1",0,"Attchd",1,294,"TA","TA",0,0,0,0,0,0,NA,"MnPrv",5,2009,"COD","Abnorml",51,51,44,139
"21",21,1,60,"RL",101,14215,NA,"NridgHt","Norm","Norm","1Fam","2Story",8,5,"CompShg","VinylSd","VinylSd","Gd","TA","Ex","TA","Unf",0,"Unf",0,1158,1158,"GasA","SBrkr",1158,1218,0,2376,0,0,3,1,4,1,"Gd",9,"Typ",1,"BuiltIn",3,853,"TA","TA",240,154,0,0,0,0,NA,NA,11,2006,"New","Partial",1,1,0,325.3
"22",22,1,45,"RM",57,7449,"Grvl","IDOTRR","Norm","Norm","1Fam","1.5Unf",7,7,"CompShg","Wd Sdng","Wd Sdng","TA","TA","TA","TA","Unf",0,"Unf",0,637,637,"GasA","FuseF",1108,0,0,1108,0,0,1,0,3,1,"Gd",6,"Typ",1,"Attchd",1,280,"TA","TA",0,0,205,0,0,0,NA,"GdPrv",6,2007,"WD","Normal",77,77,57,139.4
"23",23,1,20,"RL",75,9742,NA,"CollgCr","Norm","Norm","1Fam","1Story",8,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","TA","Unf",0,"Unf",0,1777,1777,"GasA","SBrkr",1795,0,0,1795,0,0,2,0,3,1,"Gd",7,"Typ",1,"Attchd",2,534,"TA","TA",171,159,0,0,0,0,NA,NA,9,2008,"WD","Normal",6,6,6,230
"24",24,1,120,"RM",44,4224,NA,"MeadowV","Norm","Norm","TwnhsE","1Story",5,7,"CompShg","CemntBd","CmentBd","TA","TA","Gd","TA","GLQ",840,"Unf",0,200,1040,"GasA","SBrkr",1060,0,0,1060,1,0,1,0,3,1,"TA",6,"Typ",1,"Attchd",2,572,"TA","TA",100,110,0,0,0,0,NA,NA,6,2007,"WD","Normal",31,31,31,129.9
"25",25,1,20,"RL",0,8246,NA,"Sawyer","Norm","Norm","1Fam","1Story",5,8,"CompShg","Plywood","Plywood","TA","Gd","TA","TA","Rec",188,"ALQ",668,204,1060,"GasA","SBrkr",1060,0,0,1060,1,0,1,0,3,1,"Gd",6,"Typ",1,"Attchd",1,270,"TA","TA",406,90,0,0,0,0,NA,"MnPrv",5,2010,"WD","Normal",42,42,9,154
"26",26,1,20,"RL",110,14230,NA,"NridgHt","Norm","Norm","1Fam","1Story",8,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","TA","Unf",0,"Unf",0,1566,1566,"GasA","SBrkr",1600,0,0,1600,0,0,2,0,3,1,"Gd",7,"Typ",1,"Attchd",3,890,"TA","TA",0,56,0,0,0,0,NA,NA,7,2009,"WD","Normal",2,2,2,256.3
"27",27,1,20,"RL",60,7200,NA,"NAmes","Norm","Norm","1Fam","1Story",5,7,"CompShg","Wd Sdng","Wd Sdng","TA","TA","TA","TA","BLQ",234,"Rec",486,180,900,"GasA","SBrkr",900,0,0,900,0,1,1,0,3,1,"Gd",5,"Typ",0,"Detchd",2,576,"TA","TA",222,32,0,0,0,0,NA,NA,5,2010,"WD","Normal",59,5,10,134.8
"28",28,1,20,"RL",98,11478,NA,"NridgHt","Norm","Norm","1Fam","1Story",8,5,"CompShg","VinylSd","VinylSd","Gd","TA","Ex","TA","GLQ",1218,"Unf",0,486,1704,"GasA","SBrkr",1704,0,0,1704,1,0,2,0,3,1,"Gd",7,"Typ",1,"Attchd",3,772,"TA","TA",0,50,0,0,0,0,NA,NA,5,2010,"WD","Normal",3,2,2,306
"29",29,1,20,"RL",47,16321,NA,"NAmes","Norm","Norm","1Fam","1Story",5,6,"CompShg","MetalSd","MetalSd","TA","TA","TA","TA","BLQ",1277,"Unf",0,207,1484,"GasA","SBrkr",1600,0,0,1600,1,0,1,0,2,1,"TA",6,"Typ",2,"Attchd",1,319,"TA","TA",288,258,0,0,0,0,NA,NA,12,2006,"WD","Normal",49,49,9,207.5
"30",30,1,30,"RM",60,6324,NA,"BrkSide","Feedr","RRNn","1Fam","1Story",4,6,"CompShg","MetalSd","MetalSd","TA","TA","TA","TA","Unf",0,"Unf",0,520,520,"GasA","SBrkr",520,0,0,520,0,0,1,0,1,1,"Fa",4,"Typ",0,"Detchd",1,240,"Fa","TA",49,0,87,0,0,0,NA,NA,5,2008,"WD","Normal",81,88,58,68.5
"31",31,1,70,"C (all)",50,8500,"Pave","IDOTRR","Feedr","Norm","1Fam","2Story",4,4,"CompShg","BrkFace","BrkFace","TA","Fa","TA","TA","Unf",0,"Unf",0,649,649,"GasA","SBrkr",649,668,0,1317,0,0,1,0,3,1,"TA",6,"Typ",0,"Detchd",1,250,"TA","Fa",0,54,172,0,0,0,NA,"MnPrv",7,2008,"WD","Normal",88,88,58,40
"32",32,1,20,"RL",0,8544,NA,"Sawyer","Norm","Norm","1Fam","1Story",5,6,"CompShg","HdBoard","HdBoard","TA","TA","TA","TA","Unf",0,"Unf",0,1228,1228,"GasA","SBrkr",1228,0,0,1228,0,0,1,1,3,1,"Gd",6,"Typ",0,"Attchd",1,271,"TA","TA",0,65,0,0,0,0,NA,"MnPrv",6,2008,"WD","Normal",42,42,2,149.35
"33",33,1,20,"RL",85,11049,NA,"CollgCr","Norm","Norm","1Fam","1Story",8,5,"CompShg","VinylSd","VinylSd","Gd","TA","Ex","TA","Unf",0,"Unf",0,1234,1234,"GasA","SBrkr",1234,0,0,1234,0,0,2,0,3,1,"Gd",7,"Typ",0,"Attchd",2,484,"TA","TA",0,30,0,0,0,0,NA,NA,1,2008,"WD","Normal",1,1,1,179.9
"34",34,1,20,"RL",70,10552,NA,"NAmes","Norm","Norm","1Fam","1Story",5,5,"CompShg","BrkFace","BrkFace","TA","TA","TA","TA","Rec",1018,"Unf",0,380,1398,"GasA","SBrkr",1700,0,0,1700,0,1,1,1,4,1,"Gd",6,"Typ",1,"Attchd",2,447,"TA","TA",0,38,0,0,0,0,NA,NA,4,2010,"WD","Normal",51,51,51,165.5
"35",35,1,120,"RL",60,7313,NA,"NridgHt","Norm","Norm","TwnhsE","1Story",9,5,"CompShg","MetalSd","MetalSd","Ex","TA","Ex","TA","GLQ",1153,"Unf",0,408,1561,"GasA","SBrkr",1561,0,0,1561,1,0,2,0,2,1,"Ex",6,"Typ",1,"Attchd",2,556,"TA","TA",203,47,0,0,0,0,NA,NA,8,2007,"WD","Normal",2,2,2,277.5
"36",36,1,60,"RL",108,13418,NA,"NridgHt","Norm","Norm","1Fam","2Story",8,5,"CompShg","VinylSd","VinylSd","Gd","TA","Ex","TA","Unf",0,"Unf",0,1117,1117,"GasA","SBrkr",1132,1320,0,2452,0,0,3,1,4,1,"Gd",9,"Typ",1,"BuiltIn",3,691,"TA","TA",113,32,0,0,0,0,NA,NA,9,2006,"WD","Normal",2,2,1,309
"37",37,1,20,"RL",112,10859,NA,"CollgCr","Norm","Norm","1Fam","1Story",5,5,"CompShg","VinylSd","VinylSd","TA","TA","Gd","TA","Unf",0,"Unf",0,1097,1097,"GasA","SBrkr",1097,0,0,1097,0,0,1,1,3,1,"TA",6,"Typ",0,"Attchd",2,672,"TA","TA",392,64,0,0,0,0,NA,NA,6,2009,"WD","Normal",15,14,14,145
"38",38,1,20,"RL",74,8532,NA,"NAmes","Norm","Norm","1Fam","1Story",5,6,"CompShg","Wd Sdng","Wd Sdng","TA","TA","TA","TA","Rec",1213,"Unf",0,84,1297,"GasA","SBrkr",1297,0,0,1297,0,1,1,0,3,1,"TA",5,"Typ",1,"Attchd",2,498,"TA","TA",0,0,0,0,0,0,NA,NA,10,2009,"WD","Normal",55,55,19,153
"39",39,1,20,"RL",68,7922,NA,"NAmes","Norm","Norm","1Fam","1Story",5,7,"CompShg","VinylSd","VinylSd","TA","Gd","TA","TA","GLQ",731,"Unf",0,326,1057,"GasA","SBrkr",1057,0,0,1057,1,0,1,0,3,1,"Gd",5,"Typ",0,"Detchd",1,246,"TA","TA",0,52,0,0,0,0,NA,NA,1,2010,"WD","Abnorml",57,57,3,109
"40",40,1,90,"RL",65,6040,NA,"Edwards","Norm","Norm","Duplex","1Story",4,5,"CompShg","AsbShng","Plywood","TA","TA",NA,NA,NA,0,NA,0,0,0,"GasA","FuseP",1152,0,0,1152,0,0,2,0,2,2,"Fa",6,"Typ",0,NA,0,0,NA,NA,0,0,0,0,0,0,NA,NA,6,2008,"WD","AdjLand",53,0,53,82
"41",41,1,20,"RL",84,8658,NA,"NAmes","Norm","Norm","1Fam","1Story",6,5,"CompShg","Wd Sdng","Wd Sdng","TA","TA","TA","TA","Rec",643,"Unf",0,445,1088,"GasA","SBrkr",1324,0,0,1324,0,0,2,0,3,1,"TA",6,"Typ",1,"Attchd",2,440,"TA","TA",0,138,0,0,0,0,NA,"GdWo",12,2006,"WD","Abnorml",41,41,41,160
"42",42,1,20,"RL",115,16905,NA,"Timber","Norm","Norm","1Fam","1Story",5,6,"CompShg","VinylSd","VinylSd","TA","Gd","TA","TA","BLQ",967,"Unf",0,383,1350,"GasA","SBrkr",1328,0,0,1328,0,1,1,1,2,1,"TA",5,"Typ",2,"Attchd",1,308,"TA","TA",0,104,0,0,0,0,NA,NA,7,2007,"WD","Normal",48,48,48,170
"43",43,1,85,"RL",0,9180,NA,"SawyerW","Norm","Norm","1Fam","SFoyer",5,7,"CompShg","HdBoard","HdBoard","TA","TA","Gd","TA","ALQ",747,"LwQ",93,0,840,"GasA","SBrkr",884,0,0,884,1,0,1,0,2,1,"Gd",5,"Typ",0,"Attchd",2,504,"TA","Gd",240,0,0,0,0,0,NA,"MnPrv",12,2007,"WD","Normal",24,24,24,144
"44",44,1,20,"RL",0,9200,NA,"CollgCr","Norm","Norm","1Fam","1Story",5,6,"CompShg","VinylSd","VinylSd","TA","TA","Gd","TA","LwQ",280,"BLQ",491,167,938,"GasA","SBrkr",938,0,0,938,1,0,1,0,3,1,"TA",5,"Typ",0,"Detchd",1,308,"TA","TA",145,0,0,0,0,0,NA,"MnPrv",7,2008,"WD","Normal",33,31,28,130.25
"45",45,1,20,"RL",70,7945,NA,"NAmes","Norm","Norm","1Fam","1Story",5,6,"CompShg","BrkFace","Wd Sdng","TA","TA","TA","TA","ALQ",179,"BLQ",506,465,1150,"GasA","FuseA",1150,0,0,1150,1,0,1,0,3,1,"TA",6,"Typ",0,"Attchd",1,300,"TA","TA",0,0,0,0,0,0,NA,NA,5,2006,"WD","Normal",47,47,47,141
"46",46,1,120,"RL",61,7658,NA,"NridgHt","Norm","Norm","TwnhsE","1Story",9,5,"CompShg","MetalSd","MetalSd","Ex","TA","Ex","TA","GLQ",456,"Unf",0,1296,1752,"GasA","SBrkr",1752,0,0,1752,1,0,2,0,2,1,"Ex",6,"Typ",1,"Attchd",2,576,"TA","TA",196,82,0,0,0,0,NA,NA,2,2010,"WD","Normal",5,5,5,319.9
"47",47,1,50,"RL",48,12822,NA,"Mitchel","Norm","Norm","1Fam","1.5Fin",7,5,"CompShg","VinylSd","VinylSd","Gd","TA","Ex","TA","GLQ",1351,"Unf",0,83,1434,"GasA","SBrkr",1518,631,0,2149,1,0,1,1,1,1,"Gd",6,"Typ",1,"Attchd",2,670,"TA","TA",168,43,0,0,198,0,NA,NA,8,2009,"WD","Abnorml",6,6,6,239.686
"48",48,1,20,"FV",84,11096,NA,"Somerst","Norm","Norm","1Fam","1Story",8,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","TA","GLQ",24,"Unf",0,1632,1656,"GasA","SBrkr",1656,0,0,1656,0,0,2,0,3,1,"Gd",7,"Typ",0,"Attchd",3,826,"TA","TA",0,146,0,0,0,0,NA,NA,7,2007,"WD","Normal",1,1,1,249.7
"49",49,1,190,"RM",33,4456,NA,"OldTown","Norm","Norm","2fmCon","2Story",4,5,"CompShg","MetalSd","MetalSd","TA","TA","TA","TA","Unf",0,"Unf",0,736,736,"GasA","SBrkr",736,716,0,1452,0,0,2,0,2,3,"TA",8,"Typ",0,NA,0,0,NA,NA,0,0,102,0,0,0,NA,NA,6,2009,"New","Partial",89,0,1,113
"50",50,1,20,"RL",66,7742,NA,"Sawyer","Norm","Norm","1Fam","1Story",5,7,"CompShg","HdBoard","HdBoard","TA","TA","TA","TA","BLQ",763,"Unf",0,192,955,"GasA","SBrkr",955,0,0,955,1,0,1,0,3,1,"TA",6,"Typ",0,"Attchd",1,386,"TA","TA",0,0,0,0,0,0,NA,"MnPrv",1,2007,"WD","Normal",41,41,41,127
"51",51,1,60,"RL",0,13869,NA,"Gilbert","Norm","Norm","1Fam","2Story",6,6,"CompShg","VinylSd","VinylSd","TA","TA","Gd","TA","GLQ",182,"Unf",0,612,794,"GasA","SBrkr",794,676,0,1470,0,1,2,0,3,1,"TA",6,"Typ",0,"Attchd",2,388,"TA","TA",0,75,0,0,0,0,NA,NA,7,2007,"WD","Normal",10,10,10,177
"52",52,1,50,"RM",52,6240,NA,"BrkSide","Norm","Norm","1Fam","1.5Fin",6,6,"CompShg","Wd Sdng","Wd Sdng","TA","TA","TA","TA","Unf",0,"Unf",0,816,816,"GasA","SBrkr",816,0,360,1176,0,0,1,0,3,1,"TA",6,"Typ",1,"Detchd",2,528,"TA","TA",112,0,0,0,0,0,NA,"MnPrv",9,2006,"WD","Normal",72,21,56,114.5
"53",53,1,90,"RM",110,8472,NA,"IDOTRR","RRNn","Norm","Duplex","1Story",5,5,"CompShg","Wd Sdng","Wd Sdng","Fa","TA","Gd","TA","LwQ",104,"GLQ",712,0,816,"GasA","SBrkr",816,0,0,816,1,0,1,0,2,1,"TA",5,"Typ",0,"CarPort",2,516,"TA","TA",106,0,0,0,0,0,NA,NA,5,2010,"WD","Normal",47,47,47,110
"54",54,1,20,"RL",68,50271,NA,"Veenker","Norm","Norm","1Fam","1Story",9,5,"WdShngl","WdShing","Wd Shng","Gd","TA","Ex","TA","GLQ",1810,"Unf",0,32,1842,"GasA","SBrkr",1842,0,0,1842,2,0,0,1,0,1,"Gd",5,"Typ",1,"Attchd",3,894,"TA","TA",857,72,0,0,0,0,NA,NA,11,2006,"WD","Normal",25,25,19,385
"55",55,1,80,"RL",60,7134,NA,"NAmes","Norm","Norm","1Fam","SLvl",5,5,"CompShg","MetalSd","MetalSd","TA","TA","TA","TA","ALQ",384,"Unf",0,0,384,"GasA","SBrkr",1360,0,0,1360,0,0,1,0,3,1,"TA",6,"Min1",1,"Detchd",2,572,"TA","TA",0,50,0,0,0,0,NA,"MnPrv",2,2007,"WD","Normal",52,45,52,130
"56",56,1,20,"RL",100,10175,NA,"NAmes","Norm","Norm","1Fam","1Story",6,5,"CompShg","HdBoard","Plywood","TA","TA","TA","TA","BLQ",490,"Unf",0,935,1425,"GasA","SBrkr",1425,0,0,1425,0,0,2,0,3,1,"TA",7,"Typ",1,"Attchd",2,576,"TA","TA",0,0,0,407,0,0,NA,NA,7,2008,"WD","Normal",44,44,44,180.5
"57",57,1,160,"FV",24,2645,"Pave","Somerst","Norm","Norm","Twnhs","2Story",8,5,"CompShg","MetalSd","MetalSd","Gd","TA","Gd","TA","GLQ",649,"Unf",0,321,970,"GasA","SBrkr",983,756,0,1739,1,0,2,1,3,1,"Gd",7,"Typ",0,"Attchd",2,480,"TA","TA",115,0,0,0,0,0,NA,NA,8,2009,"WD","Abnorml",10,10,9,172.5
"58",58,1,60,"RL",89,11645,NA,"CollgCr","Norm","Norm","1Fam","2Story",7,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","TA","Unf",0,"Unf",0,860,860,"GasA","SBrkr",860,860,0,1720,0,0,2,1,3,1,"Gd",7,"Typ",0,"Attchd",2,565,"TA","TA",0,70,0,0,0,0,NA,NA,8,2006,"WD","Normal",2,2,2,196.5
"59",59,1,60,"RL",66,13682,NA,"StoneBr","Norm","Norm","1Fam","2Story",10,5,"CompShg","VinylSd","VinylSd","Ex","TA","Ex","TA","Unf",0,"Unf",0,1410,1410,"GasA","SBrkr",1426,1519,0,2945,0,0,3,1,3,1,"Gd",10,"Typ",1,"BuiltIn",3,641,"TA","TA",192,0,37,0,0,0,NA,NA,10,2006,"New","Partial",0,0,0,438.78
"60",60,1,20,"RL",60,7200,NA,"CollgCr","Norm","Norm","1Fam","1Story",5,7,"CompShg","HdBoard","HdBoard","TA","TA","TA","TA","ALQ",632,"Unf",0,148,780,"GasA","SBrkr",780,0,0,780,0,0,1,0,2,1,"TA",4,"Typ",0,"Detchd",1,352,"TA","TA",196,0,0,0,0,0,NA,"MnPrv",1,2008,"WD","Normal",36,35,36,124.9
"61",61,1,20,"RL",63,13072,NA,"SawyerW","RRAe","Norm","1Fam","1Story",6,5,"CompShg","VinylSd","VinylSd","TA","TA","Gd","TA","ALQ",941,"Unf",0,217,1158,"GasA","SBrkr",1158,0,0,1158,1,0,1,1,3,1,"Gd",5,"Typ",0,"Detchd",2,576,"TA","TA",0,50,0,0,0,0,NA,NA,5,2006,"New","Partial",2,0,2,158
"62",62,1,75,"RM",60,7200,NA,"IDOTRR","Norm","Norm","1Fam","2.5Unf",5,7,"CompShg","MetalSd","MetalSd","TA","TA","TA","Fa","Unf",0,"Unf",0,530,530,"GasA","SBrkr",581,530,0,1111,0,0,1,0,3,1,"Fa",6,"Typ",0,"Detchd",1,288,"TA","TA",0,0,144,0,0,0,NA,NA,3,2007,"WD","Normal",87,72,11,101
"63",63,1,120,"RL",44,6442,NA,"NridgHt","Norm","Norm","TwnhsE","1Story",8,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","Gd","GLQ",24,"Unf",0,1346,1370,"GasA","SBrkr",1370,0,0,1370,0,0,2,0,2,1,"Gd",6,"Typ",1,"Attchd",2,484,"TA","TA",120,49,0,0,0,0,NA,NA,10,2007,"WD","Normal",1,1,1,202.5
"64",64,1,70,"RM",50,10300,NA,"OldTown","RRAn","Feedr","1Fam","2Story",7,6,"CompShg","Stucco","Stucco","TA","TA","TA","TA","Unf",0,"Unf",0,576,576,"GasA","SBrkr",902,808,0,1710,0,0,2,0,3,1,"TA",9,"Typ",0,"Detchd",2,480,"TA","TA",12,11,64,0,0,0,NA,"GdPrv",4,2010,"WD","Normal",89,20,60,140
